PULocationID,pickup_zone,pickup_hour,trips,avg_duration_min,median_duration_min,expected_duration_min,p90_duration_min,delay_rate,month,metric,low_sample,metric_order,unreliable_trips,benchmark_share_citywide_hour,benchmark_share_pickup_borough_hour,benchmark_share_pickup_zone_hour,benchmark_share_zone_pair_hour,pickup_borough,total_revenue,total_distance_mi,revenue_per_mile,avg_fare,scope,condition,avg_temperature_c,zero_distance_trips,zero_fare_trips,zero_distance_and_fare_trips,zero_distance_rate,zero_fare_rate,passenger_count_missing_rate,duplicate_key_rate
50.0,Clinton West,16.0,1189,17.17118026352677,14.033333333333333,14.033333333333333,30.56000000000001,0.45836837678721615,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
81.0,Eastchester,9.0,48,42.62326388888889,35.150000000000006,35.150000000000006,79.105,0.4583333333333333,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
191.0,Queens Village,15.0,59,33.065819209039546,22.883333333333333,22.883333333333333,73.72333333333333,0.4576271186440678,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
50.0,Clinton West,12.0,1058,15.44569943289225,13.466666666666667,13.466666666666667,27.266666666666666,0.45746691871455575,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
136.0,Kingsbridge Heights,10.0,35,47.18714285714285,30.766666666666666,30.766666666666666,97.26,0.45714285714285713,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
56.0,Corona,15.0,35,42.10095238095238,25.816666666666666,25.816666666666666,100.23666666666668,0.45714285714285713,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
47.0,Claremont/Bathgate,18.0,35,38.22904761904762,25.033333333333335,25.033333333333335,84.67666666666668,0.45714285714285713,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
130.0,Jamaica,5.0,70,31.74595238095238,26.075000000000003,26.075000000000003,57.47,0.45714285714285713,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
75.0,East Harlem South,17.0,2076,18.028403982016698,13.433333333333334,12.483333333333334,35.016666666666666,0.4571290944123314,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
60.0,Crotona Park East,12.0,46,36.256884057971014,30.633333333333333,30.633333333333333,70.29166666666667,0.45652173913043476,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
216.0,South Ozone Park,17.0,92,25.57518115942029,17.633333333333333,17.633333333333333,56.12000000000001,0.45652173913043476,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
39.0,Canarsie,4.0,57,38.41959064327485,30.0,30.0,76.0,0.45614035087719296,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
74.0,East Harlem North,14.0,862,21.766666666666666,18.041666666666668,18.041666666666668,39.54,0.45591647331786544,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
24.0,Bloomingdale,12.0,562,16.32870699881376,13.158333333333333,13.158333333333333,30.541666666666675,0.4555160142348754,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
74.0,East Harlem North,18.0,1039,19.822938723131216,17.15,17.15,35.36000000000001,0.4552454282964389,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
143.0,Lincoln Square West,20.0,1499,13.896219702023572,11.8,11.8,25.22,0.4549699799866578,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
75.0,East Harlem South,9.0,1464,18.281955828779598,15.225,15.225,33.64500000000001,0.45491803278688525,2026-02,avg_duration_by_zone_hour,False,1,,,,,,,,,,,,,,,,,,,,
